gene	IAE_mean	IBI_mean	IAE_minus_IBI
PSEN2	0.7339464421014945	-0.015003223263594379	0.7489496653650889
TNFSF14	1.830209342850841	1.08520727078842	0.7450020720624211
CHUK	-0.2885243348709595	0.451648058140285	-0.7401723930112445
IFNAR2	1.5778901940870804	0.8378550569349535	0.7400351371521269
TNFRSF12A	0.6354601050535132	1.3753928855068291	-0.7399327804533159
CCL2	1.665922060433378	0.9281116934954664	0.7378103669379116
DUSP6	0.2368484161804203	0.968416374889537	-0.7315679587091167
BTK	2.138196099287139	1.407079040261545	0.7311170590255942
TNFRSF17	0.4091403936718526	1.1360951951512084	-0.7269548014793558
HLA-E	1.5805641629580305	0.8545383187517347	0.7260258442062958
CARD9	1.8040700652754391	1.0799608391715583	0.7241092261038808
CXCL11	1.2737657759087793	0.5517086761668483	0.722057099741931
BAGE	0.5255535530837941	1.2418308774646625	-0.7162773243808683
TNFRSF10C	2.3744294445330496	1.6597925381746566	0.714636906358393
ATG5	-0.7885254874437901	-0.07816849546732918	-0.710356991976461
F2RL1	-0.19981740096512837	0.5098948402598281	-0.7097122412249565
CD3E	0.9936417963432452	0.28553863529230283	0.7081031610509424
CXCR3	1.04525346626816	0.3383830964288606	0.7068703698392995
IL15RA	1.3078094439368164	0.601995653579889	0.7058137903569274
TNFSF8	2.000144318258377	1.2965012466738186	0.7036430715845585
PSMB9	0.7845892209261078	0.08224471990387354	0.7023445010222343
SPANXB1	0.19860687875093336	0.9003413964161094	-0.7017345176651761
ELK1	-0.351217656625364	0.3497462099017791	-0.7009638665271432
CD38	1.1364692257898412	0.43885188627794003	0.6976173395119012
CD33	1.8749435683684452	1.1802072841956313	0.694736284172814
LAMP3	1.369284414566625	0.6803068894582717	0.6889775251083533
TLR9	1.7867256459606127	1.0987528924555428	0.6879727535050699
LBP	0.6985126298197551	1.3846936839967408	-0.6861810541769856
ICAM4	1.6895561319505705	1.0066577382818565	0.6828983936687141
PMCH	1.222810076655879	1.9006356090289864	-0.6778255323731075
PSMB8	0.20725233700464044	-0.4684580863380283	0.6757104233426687
IL24	1.4142016211895938	0.7400196287606295	0.6741819924289643
CSF2	0.8812348702751817	0.20934898530611087	0.6718858849690708
ULBP2	0.5106232969382195	1.1812455496624783	-0.6706222527242588
CSF1R	1.8144323018516313	1.1467306589087616	0.6677016429428697
SMAD3	0.4665215505198805	1.132941880971239	-0.6664203304513585
LILRB1	1.9792553404861275	1.3136919766630653	0.6655633638230622
SOCS1	0.4763401106900249	-0.1873302082718724	0.6636703189618973
IRAK2	1.535510494571378	0.8730454145179158	0.6624650800534622
FUT5	0.8677429403768991	1.5253598571885645	-0.6576169168116653
SSX4	0.8541560296696065	1.5117273601641779	-0.6575713304945714
