gene	TNT RNA 5	TNT RNA 6	TNT RNA 11	TNT RNA 12	TNT RNA 41	TNT RNA 42	TNT RNA 29	TNT RNA 30	TNT RNA 32	TNT RNA 33	TNT RNA 38	TNT RNA 39
C1QB	0.2610336378224627	1.6016371089356303	0.02195369514101269	0.8231140468722185	-0.7145453612718077	-0.3633756710175325	-0.7367983839851098	1.052237441022986	-1.737500863971864	0.8573906861657316	0.48591406095645234	-1.551060396670194
C1QBP	0.6878288796438762	-0.1644152798377885	0.8266743733083626	0.44321958684607876	0.6942147297657966	0.4192809164856518	-0.03446739367209876	-1.7194615381640315	1.1536232721660629	0.7774855783038472	-1.14591585608012	-1.9380672687656337
C1R	-0.31945282571922357	2.300504131115237	-0.13584420905049507	0.3853202714874833	-0.6838380270976788	0.08847471260847387	-0.12948444611829982	-1.1743136922494497	-1.5483738527854487	0.08745678525566483	-0.3082682376432175	1.43781939019695
C1S	-0.03166837198747016	2.3986586186926795	-0.14100680637306576	0.5483445600095646	-0.3762939416931	0.31686053825308874	-0.053017840737881475	-0.5976575583068418	-2.296805513805875	0.005175658387281824	0.009623797562541265	0.2177868599990954
C2	0.3007666443589018	0.9839771140842819	0.1911338170958344	0.778424423445594	0.5259739212972312	0.3615344138044203	0.6471718314259796	-1.869561919663055	1.1152089291940586	-0.06481658948513863	-1.8846670673391586	-1.085145518218934
C3	-0.8451948285366043	2.465073553448908	-0.08094372185390092	-0.11242970886497226	-0.7487584056083929	0.09417146290213453	0.05928665650025798	0.18843046552743709	-1.2388045965792207	-1.2578317817363454	0.3061846338465675	1.1708162709541254
C3AR1	-1.1493582917496494	1.6898170440473212	-0.24770509655206568	1.2453644206063308	-1.1147997013999464	-0.4253822131480126	-1.2742434748179445	0.7780956154058274	-1.1853025442967973	0.7070998313730164	0.1909522179755111	0.7854621925564101
C4B	-1.2877456313112332	1.6089192639956322	-0.48850113751666574	1.0091001677460012	-0.5866867012675413	-0.5478807001976191	-1.3669879079936125	-0.17737604364882306	0.10858358627671529	1.9743025906361242	-0.1997682915415718	-0.045959195177418796
C4BPA	1.0234061957537777	0.21470519921680947	0.6877267429297528	1.9439302946407635	0.06425433911273762	0.2256091656325379	-1.8675408007976886	-0.5412167821950343	-0.3715647417631212	0.3079389095636402	-1.606108848391018	-0.08113967370316172
C5	-0.5204138185143264	0.1999049180168743	0.4649845755579439	0.2739076601854071	-0.9137859418070299	-0.5903965794570428	-0.5342194113749931	0.2514224917670919	-0.6569750122686815	-0.6003888124270532	-0.36420208092729073	2.9901620112490956
C6	-0.5380591028932832	-1.2862780319110234	-1.0592238446212772	0.5601720065261274	-0.1081061600864699	0.32266922574791296	-1.2528502338658156	0.5698046077152111	0.11146209519461674	0.5189088878550931	-0.33211692998901504	2.4936174803279205
C7	-0.5225569059190958	2.4867347749979265	-0.21387701619001462	-0.841577378306669	-0.9809572974897535	-0.8961602237232758	-1.1598764138751205	0.807455657074738	0.07352926512305609	0.1868902544954163	0.9905543940298662	0.06984088978292233
C8A	-0.9550965449831281	0.1867188268841237	0.31633081295713905	0.6703341385099022	0.244562096263689	-0.39314246660753804	-1.0153582424207395	0.5033361095916802	-1.2961294803824286	0.18262392417708148	-0.9658283951881945	2.521649221198408
C8B	0.024083358958369494	0.533616362405765	-0.9901641442915532	0.24321260126040867	0.4878294572008246	0.2405555481907957	-0.3815527352755708	0.5716201480986992	-0.31189753669806386	-0.6808223777045734	-2.025947357112008	2.289466674966904
C8G	-1.0436815577853538	-0.5915552390702277	-0.9509148551887044	0.7960376546635287	-0.3542503779314045	-0.6730807934713444	-1.1391124850365295	2.1318156478379597	-0.05652343210755765	0.9008770578671542	-0.3181296438386359	1.2985180240611263
C9	-0.37397449103809155	0.4315604911773683	-0.2995281610546153	1.2186939163735586	0.3276214683039343	0.9330267665197411	-1.7828843436733766	-0.14358434769809178	-0.7130481367961156	-0.4569432508780582	-1.1253930923224171	1.9844531810861636
CAMP	-1.0086960921550179	0.6355652899301703	-0.5700682349602847	1.0733934359069999	-0.2743467863640009	0.5108215950842934	-0.9191678269389401	0.3355634599595737	-0.22979151160157188	-0.9775523190390895	-0.9886048284385467	2.412883818616419
CARD11	1.4683314354477626	1.2859265955170165	-0.35803869969987184	-0.37275910002853857	-0.26437235010260207	-1.8108073339098618	0.9952426334636555	-0.9515606327018785	-0.8530375402163167	-0.5698252730671188	0.16670092726904726	1.2641993380286987
CARD9	-1.3978531994168848	0.7809507413965625	-0.5684297558083805	0.8609064339290501	-0.3480089756020677	0.09776562426646189	-0.974246697115437	-0.38369977344606204	0.06647520907515926	-0.32685915237736873	-0.42483520509943073	2.617834750198397
CASP1	-0.2570358341214026	0.6531464471550119	1.147235256559819	1.515845914560079	0.9096791463091417	-0.28239074549805027	-1.5637618566838511	0.41109053762124625	-0.8306519956984758	0.5238272832203267	-0.43243389246996705	-1.7945502609538813
CASP10	-1.8616125448750704	0.24187968561486406	-0.4981354622029989	-0.6839204471249792	0.3856985027851637	0.06300438121900563	-0.8274418069912444	0.21833887351420458	-0.2123263992852463	0.46629308409112086	0.1406044046410039	2.5676177286141715
CASP3	0.5598892058126004	0.5527432606062873	1.024840281721181	0.4216957394351172	0.5449993422225872	0.3617822096444862	-0.8769709886799275	0.8927675990984	-1.175835861808719	0.41403963518616765	-0.15461896380455625	-2.5653314594336094
CASP8	-0.6164606214311518	1.2096403937654747	0.549926735679244	1.5994814184865311	0.667975397667374	1.3515084102660568	-0.8888435065490911	-0.7771686651311802	-0.4531849983833646	-0.026912173537904864	-1.3349593923908862	-1.28100299844113
CCL1	-0.41770461043354484	0.9257504508370187	-1.4334934651787719	0.6681051850856248	-0.2152382318276794	0.1835773217271879	-1.0353547793595024	0.07322811475290537	-0.04812956073067526	-0.3902717244550761	-0.8475706677094402	2.537101967291958
CCL11	-0.7132987216163014	1.4467000240536978	0.07070718745394211	-0.046064478673666524	0.3910562045771433	0.4416000831887413	0.70704403135935	0.8422267353606135	-2.7328263166706233	0.2626507648401953	-0.14475085269949503	-0.5250446611735965
CCL13	-0.13835728399494085	0.14035289090725425	-0.2689949485693966	-0.27889689630472725	0.4653423151452589	-0.15210226426803528	-0.9925241542938738	1.9399810816785528	-2.3651367190888855	0.8649908752376131	0.6861370501436297	0.09920805340755752
