gene	subj_2	subj_4	subj_14	subj_10	subj_11	subj_13
CCL18	2.209274345474407	0.7171481051968094	0.6726380862340798	0.21403238832690985	-0.9331476464367106	-1.2557603764586855
CCL19	0.8199920909566241	0.269630771558886	0.003792429177893464	3.4603729090201205	0.7648444100361378	-1.900698785827036
CCL2	2.0278634158795716	1.3039807049871845	0.4930430015871401	-0.8804565882883749	2.202906593194078	1.4618850755806962
CCL20	-1.5694965160198366	1.4431336076206756	0.21800337812911413	1.3634245493622636	-1.0806853774410823	3.129142227462182
CCL21	1.2661876635623603	-0.692988609790234	0.6373491083988101	1.7418385950722162	1.8359122462718342	-2.023184070088101
CCL22	1.272044758895489	2.1523852242244423	-0.5641805547266869	0.6957687485016143	-1.2897390416771246	1.8497502092586058
CCL23	1.6841869922050243	0.748488060599108	0.2648521473140896	1.6291456007867051	-0.04100782805657166	2.765167284555139
CCL24	1.4332851622732523	1.0511442551128332	-0.3831833335296453	-2.933152706913141	-0.17844350884453822	-1.130323152320292
CCL25	0.6169406439275917	-0.18555540668626624	0.8160452834263475	1.71978973438231	1.3582105706584053	2.9017001765105563
CCL26	0.956977321463882	0.9829669003761023	0.2041678967148205	0.7044843304462539	1.3056916361725939	3.2529107917950886
CCL27	0.960528401276663	0.0778356566418279	-0.7830980067732467	1.8352289567331377	-0.3479127094238393	3.9920300933866457
CCL28	-0.3078214532412755	0.00969544762453839	-1.1711643108668093	3.2782166004668696	1.2996504629509225	-2.457932503889385
CCL3	1.4145560724114137	2.3228049828627757	1.248894737684667	0.24607377266496144	-0.5681279565929438	2.708825637711459
CCL3L1	1.3047237140651349	2.339522745852156	1.296526304722783	0.4619905712551906	-0.30772190388626397	2.4804725859904
CCL4	1.7441082517422022	2.4316917906186952	1.2556959013490223	0.9986845159779082	0.06501603547320867	1.4669588448403985
CCL5	2.8212342958575993	-0.40879372987673035	-1.0266371364688145	1.5281596614254316	0.11304614458592697	0.6852819418138955
CCL7	0.8891923162153245	1.3367021344371322	0.5213551226183465	0.7809726563050265	-0.4568666344283369	3.6881025181500435
CCL8	2.490795792555972	1.9098678577367354	0.3371054432934486	-0.4473426153493761	1.2758363122402612	2.158786047193966
CCND3	0.7920234692082508	1.4942853816148436	-0.2473276581436088	1.5404880061791595	-0.39422499434728975	0.7660594729763563
CCR1	2.0667455333261406	2.61282383745294	0.3736169051005107	0.453543173096894	1.1641537644398556	1.8233435992628562
CCR2	2.4567450539037115	0.6399086998802913	-0.0691595202233869	1.4848984127856242	-0.32000912279621424	2.5865208608701256
CCR3	1.5307284627687103	2.1316638456152432	0.2815252844109028	0.9049380226912858	0.1217146622837263	3.421341616360052
CCR4	2.5784317861450416	0.5819590054605703	-0.3236787077332728	1.8482996439742783	-0.21345806982254578	2.81656104399802
CCR5	2.243877869015982	1.2412732425448123	0.9995706784513867	0.6972633346064997	0.5851025220503696	0.7118276611204908
CCR6	0.1349905773726773	0.266748524857834	-0.6587558778525772	1.9235542084119766	-0.6857499226505496	2.7842907294116626
CCR7	2.8826160194691663	1.1799093930368492	-0.13664219690161844	0.8157387272748464	-0.25046413024927916	1.064759464992839
CCR9	0.7766201789931813	1.0455764354777288	-0.21094733149351685	0.5474810003670703	0.008673406042028542	4.129814873954771
CCRL2	-0.046797882618380776	1.794571745920336	-0.6118252944446385	3.1327358850444478	1.3925146723468833	-0.12604589286623125
CD14	3.013759761819384	2.1570712358053727	0.4266580415987574	1.621912432501818	1.4316734164750753	-0.00045546727681811117
CD160	0.41851964980178064	-0.4229562578517111	0.5827457603164922	-0.9402411846524956	2.180433532149069	2.5126111894499346
CD163	2.693827214012193	1.4754099211495668	-0.044159354635300074	0.43613779167337197	2.013064152421422	0.6068960564044611
CD164	-1.0155669843378314	-0.2769648400713144	-0.4977030660575289	1.8036393259777785	1.0732333408884207	-3.4720494937465443
CD180	2.559513218696505	-0.007421883423363584	-0.6976250484816666	1.9755479933532578	1.5558956696370785	0.19415097467761946
CD19	1.6849291916862685	-0.6839312861523675	-0.18173238099009997	1.5398832664622164	-0.1922189392380388	1.710470689606531
CD1A	0.9709931314936409	0.03468631047152282	0.004766888596860586	1.3100835495993144	1.2849911757727324	2.855078479801522
CD1B	3.0436745573792594	0.2541340727905075	2.4104962654396793	-1.332206563964921	-0.1815172559541432	0.4954428146142009
CD1C	0.8568735928606632	-0.7647790462437708	0.9123491598568831	0.9368633363406451	2.048911026049571	2.2708989438842866
CD1D	2.038362683986838	0.6946355907557085	-1.4664503715782893	1.7254901596670187	2.420237838273275	-0.0729668648694961
CD1E	1.551505749097206	1.3087743872613729	0.3304820318191882	0.0	0.265063429023278	2.9885040382096597
CD2	2.9224875779779778	-0.2681209765950442	0.56091356215091	1.0878469258070114	1.0072702376330833	0.6985158707350773
CD200	2.70101286756415	0.31030004460097926	1.8315709917767204	-0.8491368757560709	-0.18827228227142734	1.8168382507123064
CD207	-0.2811991462633876	0.9966857639159237	1.5149837786065692	1.5737280550551809	1.0373025892686039	3.4665597549708034
CD209	2.3863367062250287	1.6304618795992463	-0.2520100720528311	3.0009423170326617	1.808008943067552	0.3293306801553592
CD22	2.147892458269405	-1.2565451058219814	-0.5145988558890366	1.5684481075696164	1.2744187036399577	1.4883313379194778
CD24	-0.9325924700349205	0.30856916352598546	-0.5615202894754399	1.142577448106244	-1.4885871537336652	-2.3481904750873768
