gene	pearson_r	pearson_P	ns_delta_mean	rna_delta_mean
TGFB1	0.7396265728409153	0.15310665942017465	1.3386302858843429	1.1451722895904908
MAVS	0.7396064759812926	0.1531238809524349	-0.16382326467006295	-0.3780688345499389
ADORA2A	0.7388288700186079	0.15379066575933734	1.0069159764028892	1.3862981932106326
ITGB4	0.7374697199348649	0.15495814128647226	0.013980658063199947	-0.19589900305022728
PSMB9	0.7352335877385163	0.15688450606840595	0.39762171548706887	0.022830021574074166
ATG16L1	0.7332224293777383	0.15862296224017292	0.05127594766873713	-0.1034577514225993
CD9	0.7318285120325607	0.15983113212774916	-0.4627853491820975	-0.4693358524423054
HLA-DOB	0.7282889770622366	0.1629109167298413	0.9578925398480893	0.1870631876162227
CD47	0.72781097277114	0.16332813622753545	-0.3968375663833541	-0.5977741200519348
BCL2L1	0.7275465057910995	0.16355910530403173	0.2273121112037085	-0.009823509413433129
AIRE	0.7244856792121013	0.16623909443294385	0.9168439340390296	-0.258028960241938
MNX1	0.7217896887195533	0.16861003032384342	-0.16679369080696632	-1.2897463507817744
KLRD1	0.7143068572935685	0.17524099665292137	0.5938218099455222	0.20018288997442038
ITGA1	0.713893486230623	0.17560944382181726	-0.22814527743317115	0.04746921562016828
CD209	0.713839269356924	0.17565778503168056	1.1459203890374332	0.4956091774339832
CD2	0.7133084335430862	0.17613129383530043	0.6746914586626993	-0.1656954224689402
BAX	0.7119931251732391	0.17730612915137087	0.43299138880515553	0.0030070354675116205
IGF2R	0.709881402956733	0.17919699045790807	0.7025911059505165	0.3832804053707132
SH2D1A	0.7059842756528328	0.18270152516807392	0.3322941133492329	0.09599796807596128
TLR4	0.6990670682035962	0.18896923849132516	1.3095387167174433	1.3517197710095936
IL10RA	0.6956862034071536	0.19205439695303245	0.9114876847299236	1.293686237318346
ANP32B	0.6910179307551577	0.19633749997999936	-0.3782317698490523	-0.7019305880434645
TICAM1	0.6898733632860342	0.19739169386756117	0.9064133534330713	0.6263764637358539
CCL4	0.6872739911123042	0.19979171910381732	2.508230785740679	2.77401232623822
ARG1	0.6863808775205986	0.20061822117944694	1.1036304400005228	0.5329499872791624
CTSW	0.6863634206965726	0.20063438557145907	0.7594616943541529	0.392302823380451
CXCL12	0.6832163366370866	0.20355443885199825	1.4381582781026356	0.4643987620530455
TBK1	0.6816419184735977	0.20501971261511096	0.22907411329357713	0.0011128193451165557
CD19	0.6813408670445213	0.20530022931228567	0.7077573521460325	-0.1983782748484429
IL17A	0.6800122641098972	0.2065394900288799	0.4245906568738687	-0.04191087779938678
IKBKG	0.6764076102654722	0.2099122259378588	0.36472088463627583	-0.18152173802517507
CD79B	0.6749604523868841	0.2112705585746358	0.37142372180660477	-0.06623849739013263
TFE3	0.6734469433261305	0.21269377919792035	0.8958832104959992	0.43795727556243236
HLA-G	0.6726368829579793	0.21345660770833605	0.337059838343027	0.4236685301396144
EGR1	0.6724364245619016	0.21364549534687527	2.205134342019918	2.501958662694072
