gene	good_median	bad_median	good_mean	bad_mean	MW_P_1s	MW_P_2s	direction	BH_q_1s
MAP3K5	0.4443793397366266	-0.4004972839230388	1.0511249961961122	-0.06363372299873814	0.2	0.4	good>bad	0.8998459167950693
DDX58	1.9129915777972748	1.3771115203231525	1.2949603283322226	0.5970366206460237	0.2	0.4	good>bad	0.8998459167950693
SIGLEC1	2.2760617551587417	1.5452700489626539	1.661093686972574	1.1232551226342096	0.2	0.4	good>bad	0.8998459167950693
SERPING1	0.7292774436288555	-0.5370163467054089	1.3337888784989935	8.247071720616599e-05	0.2	0.4	good>bad	0.8998459167950693
CD83	0.9083568009462848	0.23115044961377604	1.252274597595687	0.707169624310991	0.2	0.4	good>bad	0.8998459167950693
SELPLG	2.0919408835594733	0.940478238483903	1.8377115153600974	0.5387873324470412	0.2	0.4	good>bad	0.8998459167950693
CD74	0.7184114583159402	0.3296044068434977	1.1104135784362577	-0.1764190000420527	0.2	0.4	good>bad	0.8998459167950693
GNLY	0.6960543683147963	-0.4177656703702984	1.3747563576473414	0.23927638166579776	0.2	0.4	good>bad	0.8998459167950693
DOCK9	-0.5667701561682469	-1.7683966181251223	-0.1972714376259738	-1.4444870879015361	0.2	0.4	good>bad	0.8998459167950693
PRF1	0.6922196766281441	0.0027806738341262655	1.3346927213001354	-0.11989432140608007	0.2	0.4	good>bad	0.8998459167950693
PRKCE	-0.08679041336192661	-0.4484934113219404	0.7578105964093567	-0.053474352628705736	0.2	0.4	good>bad	0.8998459167950693
EGR1	1.5463640177389786	0.9365093670725471	1.9614346287504647	0.8446162605923183	0.2	0.4	good>bad	0.8998459167950693
DUSP4	1.6234983631882707	1.1617184452802227	1.7223918397552798	1.1229024254878817	0.2	0.4	good>bad	0.8998459167950693
NOTCH1	0.2847684016931631	-2.0953465186306794	0.5176623796615931	-1.1561571556634247	0.2	0.4	good>bad	0.8998459167950693
NFATC4	1.0496500167700613	-0.8105770583936568	1.2192453620861334	-0.11395038137394398	0.2	0.4	good>bad	0.8998459167950693
NFATC2	-0.31619689127068107	-0.9121514936542465	0.06248037171227072	-0.7732845964855001	0.2	0.4	good>bad	0.8998459167950693
CTLA4	0.6967374039839818	-1.01045923102347	0.919781201005135	-0.4086289734702497	0.2	0.4	good>bad	0.8998459167950693
CLEC7A	2.656939076908674	1.6029308316401403	1.9656632181966864	1.3300468495876079	0.2	0.4	good>bad	0.8998459167950693
CSF1	1.7996952938758568	1.033534792297572	1.5970954832165578	0.3984379391152981	0.2	0.4	good>bad	0.8998459167950693
PSMB9	0.4681229273577354	-0.01947390603616994	0.5322240930886767	0.08224471990387354	0.2	0.4	good>bad	0.8998459167950693
CLEC5A	1.2270285517024204	-0.7698976918162189	1.5582058550254452	-0.19964910728704788	0.2	0.4	good>bad	0.8998459167950693
AMICA1	2.064692426105697	1.1753026027585762	1.9916932877663982	0.912243047573828	0.2	0.4	good>bad	0.8998459167950693
C1S	0.6931544799461887	0.20816306243655414	1.2709442790029895	0.6551681723535836	0.2	0.4	good>bad	0.8998459167950693
CXCL14	-0.8436521952492316	-1.9057294496298274	-0.17915402735008903	-1.3295224595221578	0.2	0.4	good>bad	0.8998459167950693
ALCAM	1.1360281703005481	0.05519717894950364	0.9969644847397738	-0.10956377239989872	0.2	0.4	good>bad	0.8998459167950693
TYK2	0.40753622874498685	-0.9560622904263987	0.9102717641315018	-0.39597956672587614	0.2	0.4	good>bad	0.8998459167950693
TGFB2	0.7932174423155972	0.073909540323849	1.046320010822132	-0.06008304749449156	0.2	0.4	good>bad	0.8998459167950693
